,nome,partido,uf,ano,pla,par,vnp,dp,pp,aup,aNj,pcom,ajcom,aNjcom
1255,Carlos Roberto Coelho de Mattos Júnior,PL,RJ,2019,70,4,323,41,108,1,4,193,0,2
1256,Carlos Roberto Coelho de Mattos Júnior,PL,RJ,2020,30,0,391,15,100,1,1,186,0,3
1257,Carlos Roberto Coelho de Mattos Júnior,PL,RJ,2021,98,22,762,77,126,0,6,186,0,3
1258,Carlos Roberto Coelho de Mattos Júnior,PL,RJ,2022,12,0,333,19,68,3,4,10,0,0
1259,CHRISTIANE NOGUEIRA DOS REIS TONIETTO,PL,RJ,2019,167,22,322,28,110,3,0,392,12,1
1260,CHRISTIANE NOGUEIRA DOS REIS TONIETTO,PL,RJ,2020,73,0,297,3,93,9,0,391,15,9
1261,CHRISTIANE NOGUEIRA DOS REIS TONIETTO,PL,RJ,2021,150,12,614,2,101,28,3,387,15,9
1262,CHRISTIANE NOGUEIRA DOS REIS TONIETTO,PL,RJ,2022,62,0,347,7,71,2,2,46,4,8
1263,CHRISTINO AUREO DA SILVA,PP,RJ,2019,185,1,314,22,102,9,2,239,6,40
1264,CHRISTINO AUREO DA SILVA,PP,RJ,2020,63,1,394,25,101,1,0,243,8,16
1265,CHRISTINO AUREO DA SILVA,PP,RJ,2021,173,10,744,38,129,2,1,243,8,15
1266,CHRISTINO AUREO DA SILVA,PP,RJ,2022,56,5,333,25,70,5,0,20,7,5
1267,CLARISSA BARROS ASSED MATHEUS DE OLIVEIRA,UNIÃO,RJ,2019,234,9,284,17,104,2,7,128,1,52
1268,CLARISSA BARROS ASSED MATHEUS DE OLIVEIRA,UNIÃO,RJ,2020,45,0,383,15,97,5,0,98,2,31
1269,CLARISSA BARROS ASSED MATHEUS DE OLIVEIRA,UNIÃO,RJ,2021,20,2,751,1,126,3,3,97,2,31
1270,CLARISSA BARROS ASSED MATHEUS DE OLIVEIRA,UNIÃO,RJ,2022,19,2,353,8,71,0,4,31,0,9
1271,DANIEL LUCIO DA SILVEIRA,PTB,RJ,2019,185,6,323,35,108,4,1,218,7,105
1272,DANIEL LUCIO DA SILVEIRA,PTB,RJ,2020,50,0,345,0,88,10,4,159,5,144
1273,DANIEL LUCIO DA SILVEIRA,PTB,RJ,2021,50,0,370,3,66,14,52,154,5,146
1274,DANIEL LUCIO DA SILVEIRA,PTB,RJ,2022,26,4,354,11,74,1,0,73,1,39
1275,DANIELA MOTE DE SOUZA CARNEIRO,UNIÃO,RJ,2019,234,3,297,11,100,13,0,184,11,53
1276,DANIELA MOTE DE SOUZA CARNEIRO,UNIÃO,RJ,2020,32,1,380,5,95,7,0,182,14,34
1277,DANIELA MOTE DE SOUZA CARNEIRO,UNIÃO,RJ,2021,59,7,742,3,126,3,3,179,14,34
1278,DANIELA MOTE DE SOUZA CARNEIRO,UNIÃO,RJ,2022,25,3,325,1,64,10,1,31,9,6
1279,DAVID MICHAEL DOS SANTOS MIRANDA,PDT,RJ,2019,235,1,264,51,87,22,4,118,7,26
1280,DAVID MICHAEL DOS SANTOS MIRANDA,PDT,RJ,2020,433,0,391,8,98,4,0,127,12,40
1281,DAVID MICHAEL DOS SANTOS MIRANDA,PDT,RJ,2021,237,0,729,3,120,8,4,127,12,40
1282,DAVID MICHAEL DOS SANTOS MIRANDA,PDT,RJ,2022,46,1,312,13,62,6,7,22,3,7
1283,FABIANA SILVA DE SOUZA,PL,RJ,2019,41,5,202,2,63,14,8,170,20,37
