,nome,partido,uf,ano,pla,par,vnp,dp,pp,aup,aNj,pcom,ajcom,aNjcom
35,ARTHUR CÉSAR PEREIRA DE LIRA,PP,AL,2022,0,0,312,15,57,18,0,0,0,0
36,ISNALDO BULHOES BARROS JUNIOR,MDB,AL,2019,109,11,315,15,101,12,0,164,19,49
37,ISNALDO BULHOES BARROS JUNIOR,MDB,AL,2020,35,3,382,25,91,11,0,40,9,61
38,ISNALDO BULHOES BARROS JUNIOR,MDB,AL,2021,187,1,741,111,116,16,0,36,8,59
39,ISNALDO BULHOES BARROS JUNIOR,MDB,AL,2022,78,1,287,23,47,28,0,2,0,0
40,MARX BELTRÃO LIMA SIQUEIRA,PP,AL,2019,192,1,291,20,91,17,5,175,41,65
41,MARX BELTRÃO LIMA SIQUEIRA,PP,AL,2020,22,0,386,9,96,3,3,206,4,113
42,MARX BELTRÃO LIMA SIQUEIRA,PP,AL,2021,30,2,757,20,131,0,1,204,4,113
43,MARX BELTRÃO LIMA SIQUEIRA,PP,AL,2022,26,4,341,23,72,6,2,27,4,19
44,NIVALDO FERREIRA DE ALBUQUERQUE NETO,REPUBLICANOS,AL,2019,333,3,307,0,106,0,7,53,2,82
45,NIVALDO FERREIRA DE ALBUQUERQUE NETO,REPUBLICANOS,AL,2020,25,0,381,0,96,2,4,37,19,105
46,NIVALDO FERREIRA DE ALBUQUERQUE NETO,REPUBLICANOS,AL,2021,218,1,726,1,118,14,0,37,19,105
47,NIVALDO FERREIRA DE ALBUQUERQUE NETO,REPUBLICANOS,AL,2022,124,0,274,0,54,10,11,1,5,13
48,PAULO FERNANDO DOS SANTOS,PT,AL,2019,256,1,310,43,109,4,0,57,4,15
49,PAULO FERNANDO DOS SANTOS,PT,AL,2020,243,1,394,151,98,4,0,49,8,30
50,PAULO FERNANDO DOS SANTOS,PT,AL,2021,208,1,762,139,131,0,1,49,8,30
51,PAULO FERNANDO DOS SANTOS,PT,AL,2022,54,2,307,32,56,19,0,6,8,3
52,PEDRO TORRES BRANDÃO VILELA,PSDB,AL,2019,0,0,0,0,0,0,0,88,0,5
53,PEDRO TORRES BRANDÃO VILELA,PSDB,AL,2020,0,0,0,0,0,0,0,216,8,32
54,PEDRO TORRES BRANDÃO VILELA,PSDB,AL,2021,99,28,762,21,132,0,0,216,8,34
55,PEDRO TORRES BRANDÃO VILELA,PSDB,AL,2022,20,1,341,26,68,5,2,43,5,13
56,SERGIO TOLEDO DE ALBUQUERQUE,PV,AL,2019,194,13,286,2,103,2,8,211,2,22
57,SERGIO TOLEDO DE ALBUQUERQUE,PV,AL,2020,3,0,393,1,98,4,0,157,19,8
58,SERGIO TOLEDO DE ALBUQUERQUE,PV,AL,2021,20,0,727,0,125,3,4,156,19,8
59,SERGIO TOLEDO DE ALBUQUERQUE,PV,AL,2022,8,0,194,0,35,40,0,1,19,0
60,SEVERINO DE LIRA PESSÔA,MDB,AL,2019,108,0,294,1,89,8,16,48,6,44
61,SEVERINO DE LIRA PESSÔA,MDB,AL,2020,2,0,387,0,96,1,5,50,2,33
62,SEVERINO DE LIRA PESSÔA,MDB,AL,2021,22,0,756,0,129,0,3,51,2,34
63,SEVERINO DE LIRA PESSÔA,MDB,AL,2022,5,0,339,0,63,5,7,11,2,12
64,TEREZA NELMA DA SILVA PORTO VIANA SOARES,PSD,AL,2019,361,16,193,14,69,43,1,298,76,20
65,TEREZA NELMA DA SILVA PORTO VIANA SOARES,PSD,AL,2020,140,3,374,13,86,16,0,387,70,63
66,TEREZA NELMA DA SILVA PORTO VIANA SOARES,PSD,AL,2021,302,18,699,21,119,11,2,389,69,66
67,TEREZA NELMA DA SILVA PORTO VIANA SOARES,PSD,AL,2022,92,4,292,12,62,13,0,83,49,25
68,ALBERTO BARROS CAVALCANTE NETO,PL,AM,2019,463,12,267,105,96,17,0,253,36,3
69,ALBERTO BARROS CAVALCANTE NETO,PL,AM,2020,414,0,392,47,100,1,1,298,9,10
70,ALBERTO BARROS CAVALCANTE NETO,PL,AM,2021,374,14,751,83,130,2,0,292,9,9
71,ALBERTO BARROS CAVALCANTE NETO,PL,AM,2022,231,6,351,108,71,2,2,51,1,2
72,ÁTILA SIDNEY LINS ALBUQUERQUE,PSD,AM,2019,160,8,274,21,93,17,3,113,14,108
73,ÁTILA SIDNEY LINS ALBUQUERQUE,PSD,AM,2020,9,0,373,3,90,11,1,61,4,162
74,ÁTILA SIDNEY LINS ALBUQUERQUE,PSD,AM,2021,39,3,744,2,124,4,4,61,4,163
75,ÁTILA SIDNEY LINS ALBUQUERQUE,PSD,AM,2022,7,1,303,0,58,0,17,8,0,48
76,JOÃO BOSCO GOMES SARAIVA,SOLIDARIEDADE,AM,2019,280,6,299,0,93,3,17,86,2,13
77,JOÃO BOSCO GOMES SARAIVA,SOLIDARIEDADE,AM,2020,6,0,384,0,95,3,4,65,1,23
78,JOÃO BOSCO GOMES SARAIVA,SOLIDARIEDADE,AM,2021,37,3,758,3,128,0,4,65,1,23
79,JOÃO BOSCO GOMES SARAIVA,SOLIDARIEDADE,AM,2022,4,0,288,0,54,3,18,13,1,9
80,JOSÉ RICARDO WENDLING,PT,AM,2019,603,4,316,157,111,2,0,273,0,0
81,JOSÉ RICARDO WENDLING,PT,AM,2020,419,0,394,14,100,1,1,213,1,1
82,JOSÉ RICARDO WENDLING,PT,AM,2021,493,22,762,117,132,0,0,214,1,2
83,JOSÉ RICARDO WENDLING,PT,AM,2022,148,1,341,38,70,4,1,42,1,2
84,MARCELO RAMOS RODRIGUES,PSD,AM,2019,285,8,312,100,110,3,0,213,21,101
85,MARCELO RAMOS RODRIGUES,PSD,AM,2020,141,4,394,128,102,0,0,11,0,39
86,MARCELO RAMOS RODRIGUES,PSD,AM,2021,1476,1384,751,113,126,6,0,3,0,39
87,MARCELO RAMOS RODRIGUES,PSD,AM,2022,367,318,324,60,65,8,2,2,0,7
88,PABLO OLIVA SOUZA,UNIÃO,AM,2019,125,17,305,37,99,14,0,441,29,13
89,PABLO OLIVA SOUZA,UNIÃO,AM,2020,34,0,394,20,100,2,0,418,5,53
90,PABLO OLIVA SOUZA,UNIÃO,AM,2021,129,28,760,18,128,1,3,415,5,53
91,PABLO OLIVA SOUZA,UNIÃO,AM,2022,68,9,328,10,61,0,14,74,0,24
92,SIDNEY RICARDO DE OLIVEIRA LEITE,PSD,AM,2019,173,3,324,41,113,0,0,292,6,79
93,SIDNEY RICARDO DE OLIVEIRA LEITE,PSD,AM,2020,15,0,388,11,102,0,0,292,0,35
94,SIDNEY RICARDO DE OLIVEIRA LEITE,PSD,AM,2021,76,15,762,50,132,0,0,291,0,33
95,SIDNEY RICARDO DE OLIVEIRA LEITE,PSD,AM,2022,38,4,330,25,67,0,8,49,0,7
96,SILAS CÂMARA,REPUBLICANOS,AM,2019,306,14,275,27,92,11,10,76,10,91
97,SILAS CÂMARA,REPUBLICANOS,AM,2020,16,0,394,3,93,7,2,88,14,76
98,SILAS CÂMARA,REPUBLICANOS,AM,2021,98,2,732,19,124,5,3,88,14,77
99,SILAS CÂMARA,REPUBLICANOS,AM,2022,9,1,243,5,53,11,11,14,11,20
100, ACÁCIO DA SILVA FAVACHO NETO,MDB,AP,2019,107,0,279,8,101,4,8,43,3,35
101, ACÁCIO DA SILVA FAVACHO NETO,MDB,AP,2020,62,3,391,43,89,13,0,46,13,61
102, ACÁCIO DA SILVA FAVACHO NETO,MDB,AP,2021,65,1,758,17,129,3,0,46,13,61
103, ACÁCIO DA SILVA FAVACHO NETO,MDB,AP,2022,12,1,304,6,53,22,0,6,10,10
104,ALINE PARANHOS VARONIL GURGEL,REPUBLICANOS,AP,2019,60,5,209,17,72,22,19,99,29,89
105,ALINE PARANHOS VARONIL GURGEL,REPUBLICANOS,AP,2020,60,1,394,13,97,4,1,106,37,133
106,ALINE PARANHOS VARONIL GURGEL,REPUBLICANOS,AP,2021,158,26,714,20,118,10,4,107,37,134
107,ALINE PARANHOS VARONIL GURGEL,REPUBLICANOS,AP,2022,46,4,299,8,63,11,1,11,7,23
108,ANDRE DOS SANTOS ABDON,PP,AP,2019,316,0,289,1,105,4,4,11,2,55
109,ANDRE DOS SANTOS ABDON,PP,AP,2020,5,0,393,0,99,2,1,8,0,93
110,ANDRE DOS SANTOS ABDON,PP,AP,2021,37,0,762,0,130,0,2,8,0,94
111,ANDRE DOS SANTOS ABDON,PP,AP,2022,11,0,354,0,73,0,2,5,0,32
112,CARLOS CAMILO GÓES CAPIBERIBE,PSB ,AP,2019,328,8,295,132,103,9,1,260,23,60
113,CARLOS CAMILO GÓES CAPIBERIBE,PSB ,AP,2020,212,0,394,78,98,4,0,264,5,35
114,CARLOS CAMILO GÓES CAPIBERIBE,PSB ,AP,2021,163,4,762,127,132,0,0,264,5,36
115,CARLOS CAMILO GÓES CAPIBERIBE,PSB ,AP,2022,48,1,335,41,72,3,0,54,5,19
116,LEDA MARIA SADALA BRITO,PP,AP,2019,109,2,237,1,83,23,7,136,14,16
117,LEDA MARIA SADALA BRITO,PP,AP,2020,27,0,394,21,94,6,2,120,8,21
118,LEDA MARIA SADALA BRITO,PP,AP,2021,90,5,698,6,119,9,4,111,7,21
119,LEDA MARIA SADALA BRITO,PP,AP,2022,35,0,279,0,56,11,8,24,6,9
120,LUIZ CARLOS GOMES DOS SANTOS JUNIOR,PSDB,AP,2019,126,3,276,4,103,4,6,100,2,112
121,LUIZ CARLOS GOMES DOS SANTOS JUNIOR,PSDB,AP,2020,4,0,370,3,93,3,6,54,8,57
122,LUIZ CARLOS GOMES DOS SANTOS JUNIOR,PSDB,AP,2021,15,0,376,4,67,0,1,54,7,53
123,LUIZ CARLOS GOMES DOS SANTOS JUNIOR,PSDB,AP,2022,4,1,181,4,38,6,7,18,7,20
124,MARCIVANIA DO SOCORRO DA ROCHA FLEXA,PCdoB ,AP,2019,279,6,305,5,107,6,0,168,2,3
125,MARCIVANIA DO SOCORRO DA ROCHA FLEXA,PCdoB ,AP,2020,84,0,394,14,99,2,1,146,1,4
126,MARCIVANIA DO SOCORRO DA ROCHA FLEXA,PCdoB ,AP,2021,115,8,752,7,131,1,0,146,1,6
127,MARCIVANIA DO SOCORRO DA ROCHA FLEXA,PCdoB ,AP,2022,41,2,356,1,74,0,1,27,0,3
128,VINICIUS DE AZEVEDO GURGEL,PL,AP,2019,51,0,106,2,56,30,22,12,13,54
129,VINICIUS DE AZEVEDO GURGEL,PL,AP,2020,5,1,243,0,42,5,1,10,4,44
130,VINICIUS DE AZEVEDO GURGEL,PL,AP,2021,12,1,702,0,117,0,4,10,4,44
131,VINICIUS DE AZEVEDO GURGEL,PL,AP,2022,1,0,114,0,25,13,1,0,0,0
132,ADOLFO VIANA DE CASTRO NETO,PSDB,BA,2019,114,1,272,9,104,5,4,152,6,50
133,ADOLFO VIANA DE CASTRO NETO,PSDB,BA,2020,4,1,384,1,94,5,3,67,2,48
134,ADOLFO VIANA DE CASTRO NETO,PSDB,BA,2021,25,18,745,2,125,0,7,66,0,46
135,ADOLFO VIANA DE CASTRO NETO,PSDB,BA,2022,140,0,321,5,61,14,0,3,0,2
136,AFONSO BANDEIRA FLORENCE,PT,BA,2019,341,3,310,104,109,1,3,47,11,63
137,AFONSO BANDEIRA FLORENCE,PT,BA,2020,236,0,384,157,99,1,2,35,9,34
138,AFONSO BANDEIRA FLORENCE,PT,BA,2021,202,0,670,202,115,16,1,35,9,34
139,AFONSO BANDEIRA FLORENCE,PT,BA,2022,53,3,341,147,67,8,0,7,1,15
140,ALEX MARCO SANTANA SOUSA,REPUBLICANOS,BA,2019,301,8,320,7,105,6,2,53,1,45
141,ALEX MARCO SANTANA SOUSA,REPUBLICANOS,BA,2020,8,0,381,1,96,4,2,28,8,59
142,ALEX MARCO SANTANA SOUSA,REPUBLICANOS,BA,2021,46,19,740,3,126,0,6,29,8,59
143,ALEX MARCO SANTANA SOUSA,REPUBLICANOS,BA,2022,9,0,332,3,62,8,5,9,5,6
144,ALICE MAZZUCO PORTUGAL,PCdoB,BA,2019,436,5,305,203,109,3,1,233,14,121
145,ALICE MAZZUCO PORTUGAL,PCdoB,BA,2020,289,2,394,291,100,1,1,229,0,87
146,ALICE MAZZUCO PORTUGAL,PCdoB,BA,2021,302,15,762,356,132,0,0,220,0,87
147,ALICE MAZZUCO PORTUGAL,PCdoB,BA,2022,79,5,356,132,74,0,1,62,0,22
148,ANDERSON MACHADO DE JESUS,UNIÃO,BA,2019,31,3,169,0,78,20,15,47,17,51
149,ANDERSON MACHADO DE JESUS,UNIÃO,BA,2020,3,0,356,0,87,3,12,28,8,65
150,ANDERSON MACHADO DE JESUS,UNIÃO,BA,2021,25,0,641,0,105,6,21,28,8,67
151,ANDERSON MACHADO DE JESUS,UNIÃO,BA,2022,8,0,251,0,54,6,15,0,5,12
152,ANTONIO LUIZ PARANHOS RIBEIRO LEITE DE BRITO,PSD,BA,2019,60,5,303,12,106,5,2,82,18,183
153,ANTONIO LUIZ PARANHOS RIBEIRO LEITE DE BRITO,PSD,BA,2020,16,0,394,8,100,1,1,48,9,107
154,ANTONIO LUIZ PARANHOS RIBEIRO LEITE DE BRITO,PSD,BA,2021,210,2,762,32,131,1,0,48,9,108
155,ANTONIO LUIZ PARANHOS RIBEIRO LEITE DE BRITO,PSD,BA,2022,134,1,356,33,75,0,0,9,0,19
156,ARTHUR DE OLIVEIRA MAIA DA SILVA,UNIÃO,BA,2019,133,3,252,15,85,15,13,105,27,10
157,ARTHUR DE OLIVEIRA MAIA DA SILVA,UNIÃO,BA,2020,22,1,390,15,92,9,1,82,13,3
158,ARTHUR DE OLIVEIRA MAIA DA SILVA,UNIÃO,BA,2021,32,5,705,6,116,11,5,79,8,2
159,ARTHUR DE OLIVEIRA MAIA DA SILVA,UNIÃO,BA,2022,8,3,304,4,69,6,5,22,3,0
160,CARLOS FELIPE VAZQUEZ DE SOUZA LEÃO,PP,BA,2019,242,1,301,36,102,0,11,81,2,45
161,CARLOS FELIPE VAZQUEZ DE SOUZA LEÃO,PP,BA,2020,13,1,394,33,101,1,0,73,5,28
162,CARLOS FELIPE VAZQUEZ DE SOUZA LEÃO,PP,BA,2021,344,1,751,78,130,2,0,70,4,28
163,CARLOS FELIPE VAZQUEZ DE SOUZA LEÃO,PP,BA,2022,26,0,268,5,54,4,17,12,3,13
164,CARLOS TITO MARQUES CORDEIRO,AVANTE,BA,2019,369,4,314,39,110,2,1,142,1,5
165,CARLOS TITO MARQUES CORDEIRO,AVANTE,BA,2020,4,0,255,6,64,1,0,135,0,14
166,CARLOS TITO MARQUES CORDEIRO,AVANTE,BA,2021,63,3,762,6,132,0,0,135,0,14
167,CARLOS TITO MARQUES CORDEIRO,AVANTE,BA,2022,14,1,354,1,75,0,0,26,0,6
168,CHARLES FERNANDES SILVEIRA SANTANA,PSD,BA,2019,165,5,290,117,106,7,0,156,11,67
169,CHARLES FERNANDES SILVEIRA SANTANA,PSD,BA,2020,5,0,394,30,100,1,1,150,2,30
170,CHARLES FERNANDES SILVEIRA SANTANA,PSD,BA,2021,11,0,758,104,129,2,1,151,2,30
171,CHARLES FERNANDES SILVEIRA SANTANA,PSD,BA,2022,13,0,356,35,73,1,1,33,0,5
172,CLÁUDIO CAJADO SAMPAIO,PP,BA,2019,27,1,253,30,91,21,1,83,10,3
173,CLÁUDIO CAJADO SAMPAIO,PP,BA,2020,5,0,394,34,101,1,0,134,5,3
174,CLÁUDIO CAJADO SAMPAIO,PP,BA,2021,34,2,694,44,124,7,1,134,5,3
175,CLÁUDIO CAJADO SAMPAIO,PP,BA,2022,22,2,326,12,67,7,1,22,2,1
176,DANIEL GOMES DE ALMEIDA,PCdoB,BA,2019,464,7,289,176,100,12,1,83,9,58
177,DANIEL GOMES DE ALMEIDA,PCdoB,BA,2020,183,0,394,120,99,3,0,87,4,69
178,DANIEL GOMES DE ALMEIDA,PCdoB,BA,2021,161,12,745,175,127,3,2,87,4,69
179,DANIEL GOMES DE ALMEIDA,PCdoB,BA,2022,39,3,354,110,73,1,1,31,0,30
180,DAYANE JAMILLE CARNEIRO DOS SANTOS PIMENTEL,UNIÃO,BA,2019,72,3,312,11,110,3,0,178,7,1
181,DAYANE JAMILLE CARNEIRO DOS SANTOS PIMENTEL,UNIÃO,BA,2020,25,0,381,3,98,4,0,156,13,27
182,DAYANE JAMILLE CARNEIRO DOS SANTOS PIMENTEL,UNIÃO,BA,2021,26,1,762,4,131,0,1,155,13,27
183,DAYANE JAMILLE CARNEIRO DOS SANTOS PIMENTEL,UNIÃO,BA,2022,17,0,298,0,51,16,8,20,13,11
184,ELMAR JOSE VIEIRA NASCIMENTO,UNIÃO,BA,2019,76,0,282,11,83,30,0,10,20,39
185,ELMAR JOSE VIEIRA NASCIMENTO,UNIÃO,BA,2020,22,2,387,4,100,1,1,14,0,46
186,ELMAR JOSE VIEIRA NASCIMENTO,UNIÃO,BA,2021,16,1,727,14,120,0,12,14,0,46
187,ELMAR JOSE VIEIRA NASCIMENTO,UNIÃO,BA,2022,170,2,302,8,57,18,0,1,0,0
188,FELIX DE ALMEIDA MENDONÇA JÚNIOR,PDT,BA,2019,335,3,299,4,105,8,0,126,5,24
189,FELIX DE ALMEIDA MENDONÇA JÚNIOR,PDT,BA,2020,24,0,376,0,97,4,1,186,7,28
190,FELIX DE ALMEIDA MENDONÇA JÚNIOR,PDT,BA,2021,71,11,760,3,130,0,2,187,7,28
191,FELIX DE ALMEIDA MENDONÇA JÚNIOR,PDT,BA,2022,13,0,342,0,69,6,0,19,7,15
192,JOAO CARLOS BACELAR BATISTA,PV,BA,2019,394,4,290,74,101,1,11,130,2,84
193,JOAO CARLOS BACELAR BATISTA,PV,BA,2020,65,0,394,26,97,4,1,137,10,102
194,JOAO CARLOS BACELAR BATISTA,PV,BA,2021,109,6,762,19,131,0,1,128,9,101
195,JOAO CARLOS BACELAR BATISTA,PV,BA,2022,52,5,341,91,69,6,0,21,6,16
196,JOÃO CARLOS PAOLILO BACELAR FILHO,PL,BA,2019,171,2,293,7,95,16,2,125,15,64
197,JOÃO CARLOS PAOLILO BACELAR FILHO,PL,BA,2020,75,0,380,0,91,6,5,72,6,44
198,JOÃO CARLOS PAOLILO BACELAR FILHO,PL,BA,2021,45,0,728,0,127,2,3,71,6,44
199,JOÃO CARLOS PAOLILO BACELAR FILHO,PL,BA,2022,14,0,344,0,74,1,0,22,1,17
200,JOÃO INÁCIO RIBEIRO ROMA NETO,PL,BA,2019,404,27,313,22,104,7,2,217,6,16
201,JOÃO INÁCIO RIBEIRO ROMA NETO,PL,BA,2020,104,1,394,23,101,1,0,24,0,7
202,JOÃO INÁCIO RIBEIRO ROMA NETO,PL,BA,2021,1,0,38,1,7,0,6,19,0,7
203,JOÃO INÁCIO RIBEIRO ROMA NETO,PL,BA,2022,14,1,206,2,48,0,3,19,0,7
204,JOCEVAL RODRIGUES DOS SANTOS,CIDADANIA,BA,2019,0,0,0,0,0,0,0,0,0,0
205,JOCEVAL RODRIGUES DOS SANTOS,CIDADANIA,BA,2020,0,0,0,0,0,0,0,0,0,0
206,JOCEVAL RODRIGUES DOS SANTOS,CIDADANIA,BA,2021,0,0,0,0,0,0,0,0,0,0
207,JOCEVAL RODRIGUES DOS SANTOS,CIDADANIA,BA,2022,1,0,22,1,2,0,0,0,0,0
208,JORGE JOSE SANTOS PEREIRA SOLLA,PT,BA,2019,470,12,301,139,102,10,1,243,34,36
209,JORGE JOSE SANTOS PEREIRA SOLLA,PT,BA,2020,580,0,386,88,99,2,1,287,37,14
210,JORGE JOSE SANTOS PEREIRA SOLLA,PT,BA,2021,472,31,664,129,114,18,0,281,37,14
211,JORGE JOSE SANTOS PEREIRA SOLLA,PT,BA,2022,102,5,336,46,68,6,1,39,7,2
212,JOSÉ ALVES ROCHA,UNIÃO,BA,2019,150,2,281,31,91,19,3,129,17,75
213,JOSÉ ALVES ROCHA,UNIÃO,BA,2020,4,0,352,19,93,7,2,163,14,76
214,JOSÉ ALVES ROCHA,UNIÃO,BA,2021,24,9,748,21,126,3,3,162,14,77
215,JOSÉ ALVES ROCHA,UNIÃO,BA,2022,18,0,343,18,68,7,0,38,9,26
216,JOSÉ CERQUEIRA DE SANTANA NETO,PT,BA,2019,358,5,289,108,102,7,4,155,3,6
217,JOSÉ CERQUEIRA DE SANTANA NETO,PT,BA,2020,126,0,386,43,95,5,2,210,0,17
218,JOSÉ CERQUEIRA DE SANTANA NETO,PT,BA,2021,171,13,762,142,131,0,1,209,0,17
219,JOSÉ CERQUEIRA DE SANTANA NETO,PT,BA,2022,50,3,341,91,66,3,6,45,0,7
220,JOSÉ MARCELO DO NASCIMENTO NILO,REPUBLICANOS,BA,2019,398,4,317,89,110,0,3,120,1,21
221,JOSÉ MARCELO DO NASCIMENTO NILO,REPUBLICANOS,BA,2020,55,0,392,6,96,3,3,71,2,8
222,JOSÉ MARCELO DO NASCIMENTO NILO,REPUBLICANOS,BA,2021,26,0,761,13,131,0,1,69,2,8
223,JOSÉ MARCELO DO NASCIMENTO NILO,REPUBLICANOS,BA,2022,7,0,313,0,63,6,6,11,2,0
224,JOSEILDO RIBEIRO RAMOS,PT,BA,2019,219,2,290,89,94,1,3,99,1,38
225,JOSEILDO RIBEIRO RAMOS,PT,BA,2020,198,0,394,66,98,3,1,103,0,56
226,JOSEILDO RIBEIRO RAMOS,PT,BA,2021,112,3,762,135,131,1,0,100,0,55
227,JOSEILDO RIBEIRO RAMOS,PT,BA,2022,30,0,336,63,67,2,6,27,0,1
228,JOSIAS GOMES DA SILVA,PT,BA,2019,0,0,3,0,8,4,3,0,0,0
229,JOSIAS GOMES DA SILVA,PT,BA,2020,0,0,0,0,0,0,0,14,6,6
230,JOSIAS GOMES DA SILVA,PT,BA,2021,0,0,0,0,1,0,1,14,6,6
231,JOSIAS GOMES DA SILVA,PT,BA,2022,0,0,191,0,36,14,1,14,6,6
232,LEUR ANTONIO DE BRITTO LOMANTO JUNIOR,UNIÃO,BA,2019,301,0,293,25,106,4,3,242,10,63
233,LEUR ANTONIO DE BRITTO LOMANTO JUNIOR,UNIÃO,BA,2020,7,0,386,4,99,2,1,200,14,100
234,LEUR ANTONIO DE BRITTO LOMANTO JUNIOR,UNIÃO,BA,2021,46,7,737,2,124,3,5,193,14,99
235,LEUR ANTONIO DE BRITTO LOMANTO JUNIOR,UNIÃO,BA,2022,5,0,332,1,65,5,5,21,11,35
236,LÍDICE DA MATA E SOUZA,PSB,BA,2019,364,10,288,48,103,7,3,177,9,51
237,LÍDICE DA MATA E SOUZA,PSB,BA,2020,226,0,392,51,94,5,3,217,4,30
238,LÍDICE DA MATA E SOUZA,PSB,BA,2021,271,13,759,122,129,0,3,218,4,30
239,LÍDICE DA MATA E SOUZA,PSB,BA,2022,153,11,348,65,72,3,0,50,4,0
240,MANOEL ISIDORIO DE SANTANA JUNIOR,AVANTE,BA,2019,295,1,310,97,106,1,6,119,1,42
241,MANOEL ISIDORIO DE SANTANA JUNIOR,AVANTE,BA,2020,13,0,384,23,96,4,2,128,13,43
242,MANOEL ISIDORIO DE SANTANA JUNIOR,AVANTE,BA,2021,34,0,686,15,122,8,2,128,13,46
243,MANOEL ISIDORIO DE SANTANA JUNIOR,AVANTE,BA,2022,10,0,347,83,72,3,0,18,4,18
244,MÁRCIO CARLOS MARINHO,REPUBLICANOS,BA,2019,298,2,280,7,100,9,4,128,15,63
245,MÁRCIO CARLOS MARINHO,REPUBLICANOS,BA,2020,20,0,377,5,98,4,0,130,10,52
246,MÁRCIO CARLOS MARINHO,REPUBLICANOS,BA,2021,40,4,756,8,130,2,0,127,10,50
247,MÁRCIO CARLOS MARINHO,REPUBLICANOS,BA,2022,10,2,298,1,60,7,8,19,5,6
248,MARIO S. M. NEGROMONTE JR.,PP,BA,2019,254,2,294,5,97,16,0,66,11,29
249,MARIO S. M. NEGROMONTE JR.,PP,BA,2020,34,0,394,2,100,2,0,83,10,18
250,MARIO S. M. NEGROMONTE JR.,PP,BA,2021,67,0,744,3,124,5,3,83,10,18
251,MARIO S. M. NEGROMONTE JR.,PP,BA,2022,9,0,302,1,54,19,2,7,8,6
252,OTTO ROBERTO MENDONÇA DE ALENCAR FILHO,PSD,BA,2019,85,4,314,20,111,2,0,217,0,12
253,OTTO ROBERTO MENDONÇA DE ALENCAR FILHO,PSD,BA,2020,37,1,394,20,101,1,0,101,3,15
254,OTTO ROBERTO MENDONÇA DE ALENCAR FILHO,PSD,BA,2021,98,19,761,19,131,1,0,100,3,15
255,OTTO ROBERTO MENDONÇA DE ALENCAR FILHO,PSD,BA,2022,33,4,341,9,68,7,0,35,3,4
256,PAULO SÉRGIO PARANHOS DE MAGALHÃES,PSD,BA,2019,97,4,241,7,75,3,0,128,0,21
257,PAULO SÉRGIO PARANHOS DE MAGALHÃES,PSD,BA,2020,4,0,394,1,100,2,0,147,7,40
258,PAULO SÉRGIO PARANHOS DE MAGALHÃES,PSD,BA,2021,49,13,761,11,127,0,3,148,7,40
259,PAULO SÉRGIO PARANHOS DE MAGALHÃES,PSD,BA,2022,14,1,260,4,53,8,2,17,7,15
260,PAULO VELLOSO DANTAS AZI,UNIÃO,BA,2019,142,12,291,20,108,3,2,201,8,65
261,PAULO VELLOSO DANTAS AZI,UNIÃO,BA,2020,4,0,386,0,100,2,0,110,4,74
262,PAULO VELLOSO DANTAS AZI,UNIÃO,BA,2021,18,1,758,6,128,1,3,110,4,73
263,PAULO VELLOSO DANTAS AZI,UNIÃO,BA,2022,13,6,341,0,69,4,2,33,3,17
264,RAIMUNDO MAGALHÃES COSTA,PODE,BA,2019,244,4,280,4,101,6,6,168,9,38
265,RAIMUNDO MAGALHÃES COSTA,PODE,BA,2020,7,0,394,1,98,3,1,105,10,30
266,RAIMUNDO MAGALHÃES COSTA,PODE,BA,2021,28,1,760,0,130,0,2,103,9,30
267,RAIMUNDO MAGALHÃES COSTA,PODE,BA,2022,6,0,334,0,62,9,4,20,8,11
268,RONALDO CARLETTO,PP,BA,2019,144,0,271,21,99,10,4,92,8,53
269,RONALDO CARLETTO,PP,BA,2020,28,0,376,2,96,3,3,73,4,38
270,RONALDO CARLETTO,PP,BA,2021,111,0,714,4,122,3,7,72,4,38
271,RONALDO CARLETTO,PP,BA,2022,27,0,348,4,71,4,0,3,3,12
272,SÉRGIO LUÍS LACERDA BRITO,PSD,BA,2019,7,0,94,0,33,5,6,62,3,31
273,SÉRGIO LUÍS LACERDA BRITO,PSD,BA,2020,0,0,381,0,96,4,2,58,4,84
274,SÉRGIO LUÍS LACERDA BRITO,PSD,BA,2021,7,0,742,0,122,0,10,58,4,85
275,SÉRGIO LUÍS LACERDA BRITO,PSD,BA,2022,7,0,300,0,52,10,13,6,4,14
276,ULDURICO ALENCAR PINTO,MDB,BA,2019,218,0,262,8,101,11,1,9,11,12
277,ULDURICO ALENCAR PINTO,MDB,BA,2020,5,0,381,1,94,7,1,17,7,12
278,ULDURICO ALENCAR PINTO,MDB,BA,2021,14,0,762,3,130,0,2,17,5,12
279,ULDURICO ALENCAR PINTO,MDB,BA,2022,17,0,305,1,64,9,2,5,5,8
280,VALMIR CARLOS DA ASSUNÇÃO,PT,BA,2019,427,0,311,136,110,2,1,61,1,49
281,VALMIR CARLOS DA ASSUNÇÃO,PT,BA,2020,455,0,393,37,102,0,0,46,2,49
282,VALMIR CARLOS DA ASSUNÇÃO,PT,BA,2021,343,0,759,82,131,0,1,46,2,49
283,VALMIR CARLOS DA ASSUNÇÃO,PT,BA,2022,74,0,348,27,67,6,2,12,2,8
284,WALDENOR ALVES PEREIRA FILHO,PT,BA,2019,282,0,275,42,103,9,1,108,15,111
285,WALDENOR ALVES PEREIRA FILHO,PT,BA,2020,271,0,391,14,97,4,1,146,3,98
